Hebrew,English Old,English New
אמת,Truth,Truth
הכנסת אורחים,Hospitality,Hospitality
אהבה,Love,Love
אמונה,Faith,Faith
אכילה,Eating,Eating
אלמן,Widower,A Widower
ארץ ישראל,Land of Israel,The Land of Israel
אבידה,Lost Article,Lost Objects
בנים,Children,Children
בית,House,A House
בושה,Shame,Embarrassment; Modesty
בגדים,Clothes,Clothing
בטחון,Trust,Trust in God
בשורה,Tiding,Tidings
ברכה,Blessing,Blessing
בכייה,Crying,Crying
גאוה,Arrogance,Haughtiness
גניבה וגזילה,Theft,Theft and Robbery
דעת,Cognizance,Knowledge of God
דרך,Travel,Traveling
דיין,Judge,A Judge
המתקת דין,Sweetening of Judgements,Mitigating Judgment
התבודדות,Seclusion,Seclusion
הרהורים,Thoughts,Improper Thoughts
התנשאות,High Position,Prestige and Importance
הצלחה,Success,Success and Prosperity
הריון,Pregnancy,Conception; Pregnancy
הוראה,Instruction,Instruction
ודוי דברים,Confession,Confession
ותרן,Defers,Easygoing
זיפן,Forger,A Fraud
זכות אבות,Ancestral Merit,Ancestral Merit
זכירה,Memory,Memory
זקנים,The Elderly,Elders
זריזות,Zeal,Zealousness
חלום,Dream,Dreams
חן,Favor,Grace
חנפה,Flattery,Flattery
חקירה,Investigation,Philosophical Investigation
חדושין דאוריתא,Novelties of Torah,Original Torah; Sights
חיתון,Marriage,Marriage
טבע,Nature,Nature
טלטול,Wandering,Wandering
טהרה,Purity,Purity
ישועה,Salvation,Salvation and Miracles
יראה,Fear of God,Fear of God
יחוס,Lineage,Distinguished Ancestry
כבוד,Honor,Honor and Respect
כעס,Anger,Anger
כישוף,Sorcery,Sorcery
לימוד,Learning,Torah Study
לשון הרע,Slander,Slander
ליצנות,Mockery,Derision and Mockery
מריבה,Contention,Conflict and Strife
ממון,Money,Money
מפלת,Miscarriage,Miscarriage
מסור,Informer,An Informer
משקה,Beverages,Alcohol
משיח,Messiah,The Messiah
מוהל,Circumciser,A Circumciser
מפורסם,Famous,Fame
ניאוף,Sexual Immorality,Immoral Behavior
נדה,Menstrual Impurity,Menstruation
נפילה,Falling,A Fall
ניבול פה,Test,Obscene Language
נהנה מאחרים,Deriving Benefit From Others,Benefitting from Others
נגינה,Music,Song
ניסיון,Trial,A Test
נר תמיד,Memorial Lamp,An Eternal Flame
ספירת העומר,The Counting of the Omer,Counting the Omer
סוד,Secret,Mysteries
ספר,Book,A Holy Book
סגולה,Auspicious Action or Object,A Divine Remedy
ענוה,Humility,Humility
עצבות,Depression,Depression
עצירות,Constipation,Constipation
עבירה,Sin,Sin
עצלות,Laziness,Laziness
עונש,Punishment,Punishment
עצה,Advice,Advice
עזות,Brazenness,Arrogance
פחד,Fear,Fear
פדיון,Redeeming Prisoners,Redeeming Captives
פרישות,Abstinence,Abstinence
פוסק,Codifiers of the Law,Halakhic Codifiers
צדקה,Charity,Charity
צדיק,Righteous,A Righteous Person
קללה,Curse,A Curse
קליפה,Spiritual Impurity,Forces of Evil
קנאה,Jealousy,Envy and Jealousy
קרי,Nocturnal Emission,A Seminal Emission
קשוי לילד,Difficulty in Childbirth,Difficulty in Childbirth
הרחקת רשעים,Distancing the Wicked,Distancing the Wicked
רחמנות,Mercy,Compassion and Mercy
ראיה,Vision,Vision
רפואה,Healing,Healing
שמחה,Joy,Joy and Happiness
שכרות,Drunkenness,Drunkenness
שרים,Officials,Public Officials
שוחד,Bribery,Bribery
שלום,Peace,Peace
שבועה,Oath,Oaths
שבת,Sabbath,The Sabbath
שינה,Sleep,Sleep
שוחט,Slaughterer,A Ritual Slaughterer
תשובה,Repentance,Repentance
תוכחה,Chastisement,Rebuke
תפילה,Prayer,Prayer
